frame_index,local_time,utc_time,sample_name,radius_m,direction,dx_vehicle_m,dy_vehicle_m,center_lon,center_lat,sample_lon,sample_lat,heading_deg,heading_convention,dem_sampling_mode,dem_mode,score,raw_score,norm_score,gradient_score,edge_iou,valid_count,valid_ratio,rough_min,rough_max,rough_mean,roughness_scale_m,dem_roughness_window_m,norm_lower_percentile,norm_upper_percentile
65,1780226435001.3154,1780226435001.3154,center,0.0,center,0.0,0.0,113.05863070625583,28.666082792698532,113.05863070625583,28.666082792698532,247.9499512058914,math,crop_rotate,local_roughness,0.12788668209452606,0.2136655723296723,0.17304067926726888,0.07269846332784036,0.10321404903909874,44394,0.177576,0,255,5.2105278968811035,2.5,1.0,2.0,98.0
66,1780226435235.6067,1780226435235.6067,center,0.0,center,0.0,0.0,113.0586298571232,28.666081142161218,113.0586298571232,28.666081142161218,247.93771658667544,math,crop_rotate,local_roughness,0.12808340493616716,0.2292439952056111,0.1843421046788772,0.059322771917299275,0.09667477696674777,45064,0.180256,0,255,5.314119815826416,2.5,1.0,2.0,98.0
67,1780226435412.7944,1780226435412.7944,center,0.0,center,0.0,0.0,113.05862868008448,28.666078868646427,113.05862868008448,28.666078868646427,247.8166510771253,math,crop_rotate,local_roughness,0.13629748135641764,0.24738006118013323,0.19539141181934844,0.06407156634616885,0.09842615999347631,44895,0.17958,0,255,5.3205437660217285,2.5,1.0,2.0,98.0
68,1780226435583.42,1780226435583.42,center,0.0,center,0.0,0.0,113.05862725880205,28.6660760889566,113.05862725880205,28.6660760889566,247.67622231070717,math,crop_rotate,local_roughness,0.13387965059425788,0.24501195949972224,0.1947405106140583,0.05949415501450177,0.09812210389399235,45025,0.1801,0,255,5.354179859161377,2.5,1.0,2.0,98.0
69,1780226435731.0046,1780226435731.0046,center,0.0,center,0.0,0.0,113.05862576497637,28.666073164699775,113.05862576497637,28.666073164699775,247.56015595888766,math,crop_rotate,local_roughness,0.15659925129203436,0.27428504395700437,0.20725744711261157,0.09468367862243997,0.10753036437246964,45591,0.182364,0,255,5.4842681884765625,2.5,1.0,2.0,98.0
70,1780226435989.6902,1780226435989.6902,center,0.0,center,0.0,0.0,113.05862404754976,28.666069831120854,113.05862404754976,28.666069831120854,247.3721789923563,math,crop_rotate,local_roughness,0.16026775309457664,0.28760843773551115,0.2139736869507023,0.09462716727042303,0.10459307010475423,45682,0.182728,0,255,5.571544170379639,2.5,1.0,2.0,98.0
71,1780226436165.9707,1780226436165.9707,center,0.0,center,0.0,0.0,113.05862199822712,28.666065680968963,113.05862199822712,28.666065680968963,247.17189493274375,math,crop_rotate,local_roughness,0.20080449266247252,0.3274713151317588,0.2299746674509512,0.16515205680988748,0.11572554169402495,45308,0.181232,0,255,5.565248012542725,2.5,1.0,2.0,98.0
72,1780226436347.2283,1780226436347.2283,center,0.0,center,0.0,0.0,113.05861965418862,28.666061137840565,113.05861965418862,28.666061137840565,246.9963619773462,math,crop_rotate,local_roughness,0.20127256405346267,0.34551174336372614,0.23587728566582833,0.1589779043050157,0.11273503571721816,45171,0.180684,0,255,5.517735958099365,2.5,1.0,2.0,98.0
73,1780226436539.3647,1780226436539.3647,center,0.0,center,0.0,0.0,113.05861708016337,28.666056180175445,113.05861708016337,28.666056180175445,246.4181238789908,math,crop_rotate,local_roughness,0.20886579438733832,0.36901396658701774,0.24864902501920025,0.1602418458372848,0.1110014800197336,45038,0.180152,0,255,5.5810441970825195,2.5,1.0,2.0,98.0
74,1780226436780.754,1780226436780.754,center,0.0,center,0.0,0.0,113.05861420140724,28.666050892396562,113.05861420140724,28.666050892396562,245.94089617993208,math,crop_rotate,local_roughness,0.20931470255925877,0.36879198697073595,0.2661271152794559,0.1398773092345734,0.11105830164765526,46748,0.186992,0,255,5.749663829803467,2.5,1.0,2.0,98.0
75,1780226436964.284,1780226436964.284,center,0.0,center,0.0,0.0,113.05861111329715,28.66604526562082,113.05861111329715,28.66604526562082,245.57819362208537,math,crop_rotate,local_roughness,0.20829481266959327,0.36280221910380395,0.2632879781157501,0.14108094379095712,0.11687495087636564,47364,0.189456,0,255,5.90477180480957,2.5,1.0,2.0,98.0
76,1780226437147.7263,1780226437147.7263,center,0.0,center,0.0,0.0,113.05860754434825,28.666038801630354,113.05860754434825,28.666038801630354,245.0352416345701,math,crop_rotate,local_roughness,0.1771801854269025,0.33224022137555215,0.2355805220024956,0.1058019962789554,0.1064294631710362,47264,0.189056,0,255,5.812240123748779,2.5,1.0,2.0,98.0
